q,n,rho,v2,reps,denominator,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd,tail_lower,tail_upper,delta_coverage,delta_mcse,corrected_normal_coverage,pit_KS,transport_minus_delta,paired_mcse
4,200,0.99,1e-06,50000,stable,0.93584,0.0010958420908141829,0,0.93584,-14.805581831815418,-2.1306712709917535,10.255229312064555,0.0874907069908889,0.03898833725127121,0.08454068279577916,6.3959688108090145,0.03166,0.0325,0.9336,0.0011134724064834297,0.93586,0.017785844392298245,0.00224,0.0009570360319023141
4,1000,0.0,1.0,50000,SN,0.94886,0.0009851365428203338,0,0.94886,-12.881481923407748,-0.9998416824647955,10.786328021965025,0.06992815058041194,0.03284889477512842,0.07532563946289575,6.0064587311122795,0.02562,0.02552,0.94588,0.0010118401612903092,0.94896,0.0028007182766788263,0.00298,0.0006488688716653407
4,1000,0.0,1.0,50000,stable,0.9489,0.000984771953296803,0,0.9489,-12.85614484292598,-0.9607873967039345,10.820640819286753,0.07162299957487421,0.033071152710515736,0.07720258323942157,6.006464943857695,0.02566,0.02544,0.94608,0.001010075577370327,0.94882,0.0026787294857166244,0.00282,0.0006339156008332495
4,1000,0.0,1e-06,50000,SN,0.94886,0.0009851365428203338,0,0.94886,-12.8814819234077,-0.9998416824647858,10.786328021964984,0.0699281505804188,0.03284889477512868,0.07532563946290126,6.0064587311122795,0.02562,0.02552,0.94588,0.0010118401612903092,0.94896,0.0028007182766841,0.00298,0.0006488688716653407
4,1000,0.0,1e-06,50000,stable,0.9489,0.000984771953296803,0,0.9489,-12.856144842925948,-0.9607873967040376,10.820640819286641,0.07162299957487858,0.03307115271051091,0.0772025832394264,6.006464943857695,0.02566,0.02544,0.94608,0.001010075577370327,0.94882,0.0026787294857195665,0.00282,0.0006339156008332495
4,1000,0.5,1.0,50000,SN,0.94886,0.0009851365428203338,0,0.94886,-12.881481923407748,-0.999841682464812,10.786328021965023,0.06992815058041152,0.03284889477512876,0.07532563946289668,6.0064587311122795,0.02562,0.02552,0.94588,0.0010118401612903092,0.94896,0.002800718276679104,0.00298,0.0006488688716653407
4,1000,0.5,1.0,50000,stable,0.94688,0.0010029782210995407,0,0.94688,-12.952550998377403,-0.9431204506889114,10.91622795874845,0.06133968885288184,0.037591955525771256,0.05496563467285801,6.088983909115846,0.02656,0.02656,0.94662,0.0010052917546662758,0.9468,0.0052278902905699975,0.00026,0.000625784691511068
4,1000,0.5,1e-06,50000,SN,0.94886,0.0009851365428203338,0,0.94886,-12.881481923407884,-0.9998416824649508,10.786328021965014,0.06992815058042015,0.03284889477513011,0.07532563946289912,6.0064587311122795,0.02562,0.02552,0.94588,0.0010118401612903092,0.94896,0.002800718276674552,0.00298,0.0006488688716653407
4,1000,0.5,1e-06,50000,stable,0.94688,0.0010029782210995407,0,0.94688,-12.952550998377422,-0.9431204506888702,10.916227958748408,0.06133968885288606,0.03759195552577361,0.054965634672853224,6.088983909115848,0.02656,0.02656,0.94662,0.0010052917546662758,0.9468,0.005227890290570469,0.00026,0.000625784691511068
4,1000,0.9,1.0,50000,SN,0.94886,0.0009851365428203338,0,0.94886,-12.881481923407696,-0.9998416824647225,10.786328021965032,0.06992815058041388,0.032848894775123885,0.0753256394628948,6.0064587311122795,0.02562,0.02552,0.94588,0.0010118401612903092,0.94896,0.002800718276682712,0.00298,0.0006488688716653407
