n,h_a,h_b,method,reps,limit_coverage,limit_mcse,limit_reps,coverage,mcse,failures,conditional_coverage,T_q025,T_q50,T_q975,T_q025_mcse,T_q50_mcse,T_q975_mcse,T_sd
300,0.0,3.0,emp,50000,0.98842,0.00010698552986268767,1000000,0.98596,0.0005261725648492147,0,0.98596,-1.6338515168296726,-0.0013928256649014185,1.6134817749683636,0.008524322114854616,0.005412712444952351,0.0075162487277151534,0.8671094743054601
300,0.0,3.0,G,50000,0.98842,0.00010698552986268767,1000000,0.98812,0.00048453824616845266,0,0.98812,-1.6116957594590133,-0.0014053282881723857,1.6020875695568164,0.009371309090900632,0.005405832865586902,0.00722109405584373,0.8587779552626285
300,0.0,4.0,emp,50000,0.977434,0.00014851523707687362,1000000,0.97476,0.0007014690641788851,0,0.97476,-1.763996452243778,-0.002786061605286529,1.743502272277371,0.00944142947572873,0.005530122981027244,0.00990666173535906,0.9226058519749623
300,0.0,4.0,G,50000,0.977434,0.00014851523707687362,1000000,0.97708,0.0006692484381752422,0,0.97708,-1.7429979387356527,-0.002787893929274733,1.725345813452926,0.009109750458781703,0.005575764890443846,0.009245307588081956,0.9136469926751514
300,0.0,6.0,emp,50000,0.962449,0.0001901076600218939,1000000,0.95934,0.0008832526750596346,0,0.95934,-1.8913990962626808,-0.0027860372633090468,1.8665409635059653,0.01130620456732422,0.00554816920289054,0.010342419191663765,0.9699134362541542
300,0.0,6.0,G,50000,0.962449,0.0001901076600218939,1000000,0.96176,0.0008576444764586321,0,0.96176,-1.8732427908647136,-0.0027878943164145894,1.8508703744089228,0.010658312041090055,0.005596631842510825,0.009789769047243282,0.960384610622775
300,0.0,8.0,emp,50000,0.956664,0.00020361235498859108,1000000,0.95384,0.0009383949530981077,0,0.95384,-1.9409232744418443,-0.002786024711366431,1.9149727592401313,0.012386139282109163,0.005547841109403801,0.011015002457251757,0.9878756645433526
300,0.0,8.0,G,50000,0.956664,0.00020361235498859108,1000000,0.95578,0.0009193975375211751,0,0.95578,-1.9237144137922093,-0.0027878944475896042,1.899982712943836,0.010910816375423158,0.005596708437283896,0.009933199810723905,0.9781303073700203
300,0.0,12.0,emp,50000,0.952667,0.00021235015213321598,1000000,0.9498,0.0009765240396426503,0,0.9498,-1.9776457888016914,-0.002786011810816386,1.9439667085787864,0.012684280700906866,0.005547553628863748,0.011372398925923257,1.0011150392353079
300,0.0,12.0,G,50000,0.952667,0.00021235015213321598,1000000,0.95186,0.0009573143726070341,0,0.95186,-1.958588265245887,-0.0027878945394967094,1.9334423307623305,0.011586154844940471,0.005596764443934083,0.010172105172163038,0.9912147216926706
