law,n,reps,v_name,v,method,variance_ratio,Gaussian_coverage_benchmark,emp_minus_G,paired_mcse,fieller_factor,coverage,mcse,failures,conditional_coverage,T_q025,T_q50,T_q975,T_q025_mcse,T_q50_mcse,T_q975_mcse,T_sd,se_q025,se_q50,se_q975,se_q025_mcse,se_q50_mcse,se_q975_mcse,se_sd,error_q025,error_q50,error_q975,error_q025_mcse,error_q50_mcse,error_q975_mcse,error_sd,enlarged_G_coverage
G,1000,50000,n^-1,0.001,emp,1.0,0.95,-0.00072,0.00033703398024246276,1.0197790060028074,0.9499,0.0009756022755201019,0,0.9499,-1.968669910558176,0.0017843094218253622,1.9564558401922112,0.008349075970931211,0.0058995460706791295,0.008842197650950751,1.0027163863496913,0.6335741273838307,0.6911215502928627,0.7547584295210871,0.00023300674558598953,0.00015919387683349068,0.00039487305695119177,0.030924062023092877,-1.3630232406161056,0.0012455047818298935,1.351741113066916,0.006071377339905543,0.0040220615228722814,0.006264447449661805,0.6924922670341892,0.95506
G,1000,50000,n^-1,0.001,G,1.0,0.95,-0.00072,0.00033703398024246276,1.0197790060028074,0.95062,0.0009689335952478888,0,0.95062,-1.9614572346072134,0.0018687193772648151,1.9488848617442294,0.008073370441878074,0.005873046363672537,0.008841119223431667,0.9997237558754789,0.650793734870673,0.6925177374835036,0.7368440670524808,0.0002086239285946857,9.915665249455959e-05,0.00023868428662257292,0.021986584234699142,-1.3630232406161056,0.0012455047818298935,1.351741113066916,0.006071377339905543,0.0040220615228722814,0.006264447449661805,0.6924922670341892,0.95506
G,1000,50000,n^-2,1e-06,emp,1.0,0.95,-0.00078,0.00033643735791662026,1.0197790060028074,0.94988,0.0009757867144002325,0,0.94988,-1.9685427145064145,0.0020234281767648006,1.956367561099391,0.008285981720917233,0.005835916502168531,0.008815753225950702,1.0027218507115976,20.036927250593216,21.85373035954325,23.86585781158469,0.008005592279538103,0.005041283435638579,0.012075744435446449,0.977396388874594,-43.099750939225935,0.04594967093201567,42.78159076483489,0.19289145312264636,0.12685591617009437,0.19575354696466468,21.898764324743127,0.95506
G,1000,50000,n^-2,1e-06,G,1.0,0.95,-0.00078,0.00033643735791662026,1.0197790060028074,0.95066,0.0009685614528774109,0,0.95066,-1.9612140807128502,0.0021046674815330853,1.948581578029232,0.008162083458437882,0.005813433353417944,0.00876219481876546,0.99973052555889,20.581245968614834,21.90034050256054,23.3010593222983,0.006494136941071147,0.003316678751138701,0.00837054281264212,0.6946663535260568,-43.099750939225935,0.04594967093201567,42.78159076483489,0.19289145312264636,0.12685591617009437,0.19575354696466468,21.898764324743127,0.95506
E,100,50000,1,1.0,emp,1.0,0.95,-0.02736,0.0010045142054624114,1.274268874687892,0.92104,0.001206029173776489,0,0.92104,-2.5181015513057643,-0.08374524126154029,1.8165584907139853,0.017074408139464897,0.005817427028413308,0.010185957267254402,1.1033086929376337,0.07295877730434208,0.11363810012418377,0.19302509939492077,0.00018043917517046804,0.0001518552045386452,0.0005847577655890574,0.031000016828362714,-0.22416278194946254,-0.009606607307338809,0.276120804871493,0.0010477722966812475,0.0006423973806124544,0.0021642045147233888,0.12731554057378158,0.98604
E,100,50000,1,1.0,G,1.0,0.95,-0.02736,0.0010045142054624114,1.274268874687892,0.9484,0.000989317340391848,0,0.9484,-1.9979510339948738,-0.07817745225571204,1.9451728485254143,0.011218727384056269,0.0051684971993749326,0.01427602432330979,1.0063840953945713,0.09639477512850608,0.12347750953984948,0.163365417549266,0.000108360497938844,9.570652152097856e-05,0.0002900139796543457,0.017197345915078197,-0.22416278194946254,-0.009606607307338809,0.276120804871493,0.0010477722966812475,0.0006423973806124544,0.0021642045147233888,0.12731554057378158,0.98604
E,100,50000,n^-1/2,0.1,emp,1.0,0.95,-0.0248,0.0010780178303019152,1.274268874687892,0.9213,0.0012042118584368782,0,0.9213,-2.465405056820241,-0.06914516710789725,1.89414339378134,0.017350600099155185,0.005268529226294917,0.014964295120853089,1.1076693529996517,0.117590830734221,0.20325968322911767,0.36696773644875036,0.0003147617957123017,0.00038254046726339205,0.0017504219548898294,0.0644165330517547,-0.42663793933627114,-0.013867496130715709,0.49723307200351824,0.002834022854886033,0.001039602275458016,0.0047295023614798495,0.23221800108479362,0.98392
E,100,50000,n^-1/2,0.1,G,1.0,0.95,-0.0248,0.0010780178303019152,1.274268874687892,0.9461,0.0010098989058316674,0,0.9461,-1.8825233379719295,-0.06296865745340505,2.1191609028460743,0.010559562695287095,0.004799258640895187,0.021038524563803455,1.019153477871405,0.15284722915775578,0.22067769732508113,0.3209818928654009,0.0003458874255377628,0.0003495378900378337,0.0006175015540123139,0.04329109680200146,-0.42663793933627114,-0.013867496130715709,0.49723307200351824,0.002834022854886033,0.001039602275458016,0.0047295023614798495,0.23221800108479362,0.98392
E,100,50000,n^-1,0.01,emp,1.0,0.95,-0.02278,0.001084271619521095,1.274268874687892,0.92266,0.0011946424100960083,0,0.92266,-2.4208253162332665,-0.06338215441213146,1.90951699299199,0.017946516069880087,0.005123337340297846,0.013882727301373066,1.1057925249539198,0.3642277602371751,0.6353473868029089,1.149883004542551,0.0013838437948702985,0.0012611097016455362,0.005640399861820832,0.2025330618802879,-1.347364720554498,-0.03900424937147676,1.545638428556975,0.008453066762515189,0.0031994621522779404,0.016327132138562184,0.7260709216719152,0.98256
E,100,50000,n^-1,0.01,G,1.0,0.95,-0.02278,0.001084271619521095,1.274268874687892,0.94544,0.0010157086826447833,0,0.94544,-1.8571001175131525,-0.057915720732261436,2.1635661230948946,0.008366381053325683,0.0047993206014489385,0.020710049688467326,1.0240700636507991,0.4726478925834618,0.6900243304196608,1.0039579199062583,0.0011308982633232683,0.0011178573498455732,0.002031522388977164,0.13682793983915464,-1.347364720554498,-0.03900424937147676,1.545638428556975,0.008453066762515189,0.0031994621522779404,0.016327132138562184,0.7260709216719152,0.98256
E,100,50000,n^-2,0.0001,emp,1.0,0.95,-0.02262,0.0010872857746733909,1.274268874687892,0.92256,0.0011953497094992743,0,0.92256,-2.4171732183660026,-0.06284098806703645,1.911698800880048,0.017939729358675587,0.0049831839510985475,0.013363167974913163,1.1058547670350602,3.6433089078110035,6.353578185702059,11.493802398775168,0.01316607937649474,0.012532013518954263,0.05686629673510133,2.0230896589385687,-13.46857871654915,-0.3866320557002354,15.446163398231317,0.0822323575359937,0.03130370157819817,0.16266408189309614,7.258059334758693,0.98256
E,100,50000,n^-2,0.0001,G,1.0,0.95,-0.02262,0.0010872857746733909,1.274268874687892,0.94518,0.0010179859291758408,0,0.94518,-1.8544835588021586,-0.05719050881161335,2.166115187430102,0.00850385773181528,0.0048042005067929425,0.020226769010544814,1.0244256811454135,4.733321317860567,6.900132421147294,10.0416324319427,0.010711817952449996,0.01099528578055117,0.01721374224721631,1.36434918966912,-13.46857871654915,-0.3866320557002354,15.446163398231317,0.0822323575359937,0.03130370157819817,0.16266408189309614,7.258059334758693,0.98256
E,300,50000,1,1.0,emp,1.0,0.95,-0.0142,0.0008352132372173184,1.0709122024908506,0.93562,0.00109759022954835,0,0.93562,-2.3407706063544427,-0.04995672439063269,1.7907431220015018,0.013576742763917344,0.00640566570161732,0.010680166114883812,1.0532904483372256,0.05038403417540582,0.06743876638463371,0.09762755488094076,9.513980447489439e-05,6.482295200536265e-05,0.0002772947344349996,0.012301119002146576,-0.13096663619083534,-0.003422262733868711,0.14817359367734748,0.0006174861679903029,0.00043488278221366536,0.0010329851467257526,0.07121626309811101,0.9641
E,300,50000,1,1.0,G,1.0,0.95,-0.0142,0.0008352132372173184,1.0709122024908506,0.94982,0.0009763397728250141,0,0.94982,-1.9829921097146515,-0.04806425915903678,1.9369826848130882,0.010168602590892473,0.0061998566124661526,0.012889195520922585,1.0013232365724356,0.06090705348441788,0.07059234549515271,0.08286487654449942,4.990136183029768e-05,3.0429833439237478e-05,7.482832145746245e-05,0.005611026272531981,-0.13096663619083534,-0.003422262733868711,0.14817359367734748,0.0006174861679903029,0.00043488278221366536,0.0010329851467257526,0.07121626309811101,0.9641
E,300,50000,n^-1/2,0.057735026918962574,emp,1.0,0.95,-0.01176,0.0009331942268516777,1.0709122024908506,0.93642,0.0010912156853711366,0,0.93642,-2.3040656115623332,-0.04105588485057046,1.8266773587704037,0.013878817922471401,0.0066554542532412195,0.009730253939650043,1.0568368936174453,0.11180578567615145,0.1591535135116945,0.24106868027089498,0.0002662835552035642,0.00013839209970447985,0.0007089001985363189,0.033239878639848945,-0.3182402723812676,-0.006460567881833774,0.3517334418813619,0.0019656424546491556,0.0010524293436795823,0.002171140411355135,0.17016816381834682,0.96294
E,300,50000,n^-1/2,0.057735026918962574,G,1.0,0.95,-0.01176,0.0009331942268516777,1.0709122024908506,0.94818,0.000991309110217393,0,0.94818,-1.8834558179582281,-0.03908672973871068,2.0627375879448544,0.009791509619265703,0.006438717716487808,0.01477494349654763,1.0105030183221737,0.13330402969855254,0.16675124065926136,0.2085853432738585,0.00019253189631308475,0.0001471818566699187,0.0002203286727921237,0.019277901210227037,-0.3182402723812676,-0.006460567881833774,0.3517334418813619,0.0019656424546491556,0.0010524293436795823,0.002171140411355135,0.17016816381834682,0.96294
E,300,50000,n^-1,0.0033333333333333335,emp,1.0,0.95,-0.01214,0.0009358792258611727,1.0709122024908506,0.93618,0.0010931331812729865,0,0.93618,-2.3015228687286293,-0.039782681971136616,1.8264285150085489,0.013730270355082144,0.006741250762275204,0.00991832467220136,1.05595307302097,0.4632868191928295,0.6597971273772181,1.0004230711187456,0.000995082308464236,0.0005835288478923181,0.0029454903484630616,0.1378175620630405,-1.318615054781543,-0.02609525868230164,1.462662948495579,0.006925666772903502,0.004391563956893446,0.009967638100934354,0.7056972091869473,0.96236
E,300,50000,n^-1,0.0033333333333333335,G,1.0,0.95,-0.01214,0.0009358792258611727,1.0709122024908506,0.94832,0.000990042197080508,0,0.94832,-1.8784171239270895,-0.03813558917488387,2.079626712351227,0.010106509612693758,0.006496070414383234,0.015291278041489017,1.0112318325033878,0.5532418104357439,0.6913514769977062,0.8651001457665413,0.0007215716748381884,0.0006574833842482637,0.0007666428676613541,0.07982492169278649,-1.318615054781543,-0.02609525868230164,1.462662948495579,0.006925666772903502,0.004391563956893446,0.009967638100934354,0.7056972091869473,0.96236
E,300,50000,n^-2,1.1111111111111112e-05,emp,1.0,0.95,-0.01224,0.000938201072491952,1.0709122024908506,0.93604,0.0010942496826593098,0,0.93604,-2.2980664838377964,-0.03985446780321027,1.8258620168107556,0.013262157054788216,0.006683183455901969,0.009677526963004203,1.0559375214583695,8.029784912366889,11.426451720852175,17.32456410000431,0.016962124352016966,0.00933570083711872,0.052041106005267825,2.386505690643498,-22.839983220156697,-0.45630798764800773,25.343473543261652,0.11988516462550736,0.07580832952082099,0.16697920146167208,12.223212496033659,0.9623
E,300,50000,n^-2,1.1111111111111112e-05,G,1.0,0.95,-0.01224,0.000938201072491952,1.0709122024908506,0.94828,0.0009904043780194027,0,0.94828,-1.8767064245089782,-0.038537059061230075,2.079533515202369,0.009804573945503946,0.006451801455963256,0.015203434321491538,1.0112552389650034,9.582163739892247,11.97381111033167,14.980554902619645,0.01197081683310602,0.01124251783325444,0.014666999586196184,1.3812634603951246,-22.839983220156697,-0.45630798764800773,25.343473543261652,0.11988516462550736,0.07580832952082099,0.16697920146167208,12.223212496033659,0.9623
E,1000,50000,1,1.0,emp,1.0,0.95,-0.0039,0.000635691656448031,1.0197790060028074,0.94478,0.0010214768876484679,0,0.94478,-2.1695540636332877,-0.027184107606323685,1.8375732928453,0.013534583282212253,0.0036115367092768454,0.009243105861975128,1.0189718312456328,0.03148664665878182,0.037750080728996875,0.04772971669647609,3.300904039053953e-05,1.9689910852943137e-05,8.889896468283873e-05,0.004170948957939371,-0.07311817592368451,-0.0010302131495525451,0.07863607158427025,0.0003758420527760306,0.00013615546432618086,0.0004647860467564413,0.03861394395406871,0.95346
E,1000,50000,1,1.0,G,1.0,0.95,-0.0039,0.000635691656448031,1.0197790060028074,0.94868,0.0009867751273719867,0,0.94868,-1.9776562560307671,-0.026996182315848237,1.9622976739944566,0.010611440209130414,0.0035546211664927345,0.010577415575169204,0.9995637751057367,0.035470047634173836,0.03852162394554219,0.04199965863448765,1.3571049268914695e-05,1.0914016003912274e-05,2.7440868150442822e-05,0.0016729982844933078,-0.07311817592368451,-0.0010302131495525451,0.07863607158427025,0.0003758420527760306,0.00013615546432618086,0.0004647860467564413,0.03861394395406871,0.95346
E,1000,50000,n^-1/2,0.03162277660168379,emp,1.0,0.95,-0.00468,0.0007285413972118188,1.0197790060028074,0.94354,0.001032204130974101,0,0.94354,-2.167551900258019,-0.021199229217007363,1.8553569187713583,0.011629421127672446,0.004308145522478372,0.009725022122753654,1.0233265942289298,0.09757126955623481,0.1205228102254838,0.1577267837954058,0.00013350363040868192,6.854315999397877e-05,0.0002950493384935766,0.015560287915995338,-0.23716439716495652,-0.0025503778672028147,0.25202064644193983,0.0014537068071525559,0.0005246724857577295,0.0013340258086090783,0.12414395932489983,0.95278
