law,n,reps,method,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd
E,300,50000,Gaussian_log_delta,0.67586,0.0020931949761070993,0,0.67586,-12.726356542491065,-0.7663706905235501,11.757589718218298,0.08864193666005094,0.03846431301718587,0.07071298263273142,6.227337602491567
E,300,50000,Empirical_log_delta,0.91686,0.0012347286373936583,0,0.91686,-12.726356542491065,-0.7663706905235501,11.757589718218298,0.08864193666005094,0.03846431301718587,0.07071298263273142,6.227337602491567
E,1000,50000,Gaussian_pivot,0.67368,0.002096832170680334,0,0.67368,-12.599704823412775,-0.4065677288193439,12.143701614961158,0.06643173670800025,0.03641387615160801,0.08007856757891176,6.315340180566676
E,1000,50000,Gaussian_log_delta,0.67202,0.0020995671915897333,0,0.67202,-12.599704823412775,-0.4065677288193439,12.143701614961158,0.06643173670800025,0.03641387615160801,0.08007856757891176,6.315340180566676
E,1000,50000,Empirical_log_delta,0.93736,0.0010836625895545165,0,0.93736,-12.599704823412775,-0.4065677288193439,12.143701614961158,0.06643173670800025,0.03641387615160801,0.08007856757891176,6.315340180566676
D,100,50000,Gaussian_pivot,0.95016,0.0009732006411835126,0,0.95016,-6.783091455675515,-0.35344814570979793,5.671159693364369,0.04071383955699653,0.015156673639166934,0.030437829526384862,3.177336864770206
D,100,50000,Gaussian_log_delta,0.94588,0.0010118401612903092,0,0.94588,-6.783091455675515,-0.35344814570979793,5.671159693364369,0.04071383955699653,0.015156673639166934,0.030437829526384862,3.177336864770206
D,100,50000,Empirical_log_delta,0.93672,0.0010888125789133775,0,0.93672,-6.783091455675515,-0.35344814570979793,5.671159693364369,0.04071383955699653,0.015156673639166934,0.030437829526384862,3.177336864770206
D,300,50000,Gaussian_pivot,0.94998,0.0009748640889888186,0,0.94998,-6.482800044837572,-0.1996185701109721,5.928304492362097,0.03762089078913985,0.015641850100607563,0.043196720545666444,3.1691698111054722
D,300,50000,Gaussian_log_delta,0.94896,0.0009842247548197513,0,0.94896,-6.482800044837572,-0.1996185701109721,5.928304492362097,0.03762089078913985,0.015641850100607563,0.043196720545666444,3.1691698111054722
D,300,50000,Empirical_log_delta,0.94514,0.0010183357049617775,0,0.94514,-6.482800044837572,-0.1996185701109721,5.928304492362097,0.03762089078913985,0.015641850100607563,0.043196720545666444,3.1691698111054722
D,1000,50000,Gaussian_pivot,0.95022,0.000972645378336833,0,0.95022,-6.3815896372846,-0.11797198007145321,6.00438580231006,0.035967998839550167,0.02217699834734421,0.04115452984285973,3.1711176835811017
D,1000,50000,Gaussian_log_delta,0.94958,0.0009785481449576204,0,0.94958,-6.3815896372846,-0.11797198007145321,6.00438580231006,0.035967998839550167,0.02217699834734421,0.04115452984285973,3.1711176835811017
D,1000,50000,Empirical_log_delta,0.94816,0.0009914899333830877,0,0.94816,-6.3815896372846,-0.11797198007145321,6.00438580231006,0.035967998839550167,0.02217699834734421,0.04115452984285973,3.1711176835811017
