experiment,r,n,rho,reps,denominator,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd,tail_lower,tail_upper,delta_coverage,delta_mcse,corrected_normal_coverage,pit_KS,transport_minus_delta,paired_mcse
block,1,200,0.5,50000,stable,0.9223,0.0011971859504688483,0,0.9223,-4.612395157639962,-0.11850970438342284,4.174885389303872,0.025949556311718865,0.014648739221624074,0.022151725336763843,2.2324726504929018,0.03768,0.04002,0.95004,0.0009743099958432122,0.92298,0.027958093493845815,-0.02774,0.0007349970424519057
block,1,200,0.9,50000,SN,0.94946,0.0009796500232225796,0,0.94946,-4.238956341262798,-0.18253097199347393,3.6525303951142214,0.022450498054335688,0.011400977901653845,0.02002450710689878,2.0063956562508203,0.02556,0.02498,0.94796,0.000993295911599358,0.95002,0.002882607811087179,0.0015,0.0005723299321466812
block,1,200,0.9,50000,stable,0.85658,0.001567486546034766,0,0.85658,-5.548011547032252,-0.09190151350002423,5.038712135482678,0.03141670619185645,0.016327119787466305,0.028604900450127868,2.6955417772731263,0.0701,0.07332,0.94816,0.0009914899333830877,0.85656,0.07391884808354265,-0.09158,0.0012899206758196404
block,1,200,0.99,50000,SN,0.94946,0.0009796500232225796,0,0.94946,-4.23895634126283,-0.18253097199360424,3.652530395114564,0.022450498054344258,0.011400977901662434,0.020024507106896006,2.00639565625082,0.02556,0.02498,0.94796,0.000993295911599358,0.95002,0.00288260781107047,0.0015,0.0005723299321466812
block,1,200,0.99,50000,stable,0.83722,0.0016509553089045143,0,0.83722,-5.80812286672173,-0.09657624501341999,5.236001453136097,0.0351502666122477,0.01861076964601898,0.024003864553694746,2.824625687220213,0.07938,0.0834,0.94844,0.0009889546642794101,0.83738,0.08700629179135932,-0.11122,0.0014060731747798393
block,1,1000,0.0,50000,SN,0.94976,0.0009768924444379734,0,0.94976,-4.035160848272746,-0.08362016751968919,3.817335889123249,0.028403699780063248,0.012489536576367503,0.023332392882565396,1.9986874305227877,0.02464,0.0256,0.94948,0.0009794664833469291,0.94998,0.005230149627672764,0.00028,0.0003898736616257126
block,1,1000,0.0,50000,stable,0.94958,0.0009785481449576204,0,0.94958,-3.9976428792001903,-0.05450973051835653,3.849830586367518,0.029566605818110485,0.012117664602440755,0.02219081248941325,1.9982015711196435,0.02456,0.02586,0.94958,0.0009785481449576204,0.94976,0.00533242901743658,0.0,0.000342931993326725
block,1,1000,0.5,50000,SN,0.94976,0.0009768924444379734,0,0.94976,-4.0351608482727315,-0.0836201675196989,3.817335889123245,0.02840369978006324,0.012489536576366901,0.023332392882565788,1.998687430522788,0.02464,0.0256,0.94948,0.0009794664833469291,0.94998,0.005230149627674319,0.00028,0.0003898736616257126
block,1,1000,0.5,50000,stable,0.92006,0.0012128445605270283,0,0.92006,-4.476676383455791,-0.05590944854748082,4.3253843900675815,0.03290974217684674,0.01059098708193949,0.030996569098554184,2.2378420104177397,0.03904,0.0409,0.94892,0.000984589595719963,0.92024,0.029261735196376204,-0.02886,0.0007487010211455446
block,1,1000,0.9,50000,SN,0.94976,0.0009768924444379734,0,0.94976,-4.035160848272795,-0.08362016751965677,3.817335889123239,0.028403699780066412,0.012489536576364906,0.02333239288256646,1.9986874305227875,0.02464,0.0256,0.94948,0.0009794664833469291,0.94998,0.005230149627672376,0.00028,0.0003898736616257126
