replication,treatment_proxy,outcome_proxy,sandwich_F_D,proximal_estimate,design_rank
102,pafi1,hema1,57.97734577294399,-1.4687815631737153,19
102,pafi1,ph1,0.4958452860256576,-1.0248781005712282,19
103,paco21,hema1,72.67823418443413,-1.5009583473533712,19
103,paco21,ph1,310.09200798091416,-1.5316571945470505,19
103,pafi1,hema1,52.48109729938007,-1.5233959534114268,19
103,pafi1,ph1,0.39747302091433273,-1.5040700451924995,19
104,paco21,hema1,51.90893107848112,-0.8512873798041797,19
104,paco21,ph1,423.1976140724215,-1.1905386473927595,19
104,pafi1,hema1,29.478386092032416,-1.3678009501375932,19
104,pafi1,ph1,3.8348503335567585,-1.139677836379533,19
105,paco21,hema1,57.653774295769445,-1.0177789295393764,19
105,paco21,ph1,294.67111619673904,-1.2717865893505764,19
105,pafi1,hema1,12.440747166619238,-1.1413727872462847,19
105,pafi1,ph1,6.428526616394174,-1.2818286528107337,19
106,paco21,hema1,42.007051867898,-1.4346048526409863,19
106,paco21,ph1,261.7420820005646,-1.5092518337443916,19
106,pafi1,hema1,31.998312008379376,-1.3828209977464803,19
106,pafi1,ph1,2.2880826018879215,-1.6975837837415968,19
107,paco21,hema1,60.06952985725653,-0.9968050046006832,18
107,paco21,ph1,341.2937975659875,-1.2181223731922581,18
107,pafi1,hema1,11.882217148828902,-1.4607495011078342,18
107,pafi1,ph1,5.823494858670771,-1.1695681595960654,18
108,paco21,hema1,31.86695642122211,-0.8788025757582818,19
108,paco21,ph1,372.00918391181847,-1.523009324570229,19
108,pafi1,hema1,10.484817709911905,-1.107865705926476,19
108,pafi1,ph1,1.0864704371142344,-2.057239252163682,19
109,paco21,hema1,38.054790030302186,-1.2496971466437492,19
109,paco21,ph1,415.215944897886,-1.2704527271096784,19
109,pafi1,hema1,9.768468276224779,-1.4628464979928635,19
109,pafi1,ph1,1.0258668838469691,-1.5171615589859335,19
110,paco21,hema1,71.40279038684064,-1.2774420442647039,19
110,paco21,ph1,239.06988210658534,-1.3695850752944692,19
110,pafi1,hema1,24.893941923289184,-1.5063167644230593,19
